/TITLE,THIS IS REULT OF BH056-L-8-50Mat
 120.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
          197.    0.50029E+01    0.36811E+00    0.67250E-02    0.21446E-02
          198.    0.40841E+01    0.11418E+01    0.12796E-01    0.54386E-02
          199.    0.49362E+00    0.70844E-01    0.59420E-02    0.21849E-02
          200.    0.81873E+00    0.20294E+00    0.63663E-02    0.23249E-02
          201.    0.57982E+00    0.98947E-01    0.43331E-02    0.15550E-02
          202.    0.59369E+00    0.38772E-01    0.44497E-02    0.14463E-02
          203.    0.47844E+01    0.28450E+00    0.45225E-02    0.13755E-02
          204.    0.43630E+01    0.28964E+00    0.45384E-02    0.15150E-02
          205.    0.47109E+01    0.16548E+00    0.51808E-02    0.15905E-02
          206.    0.37859E+01    0.58073E+00    0.45617E-02    0.17335E-02
          207.    0.75227E+01    0.33435E+01    0.15858E-02    0.83924E-03
          208.    0.25233E+01    0.16143E+01    0.17183E-02    0.10688E-02
          209.    0.63341E+01   -0.44960E+00    0.16239E-02    0.58788E-03
          210.    0.31117E+01    0.19866E+01    0.21799E-02    0.12474E-02
          211.    0.21022E-02    0.24098E-02    0.41308E-03    0.24095E-03
          212.    0.58089E-02    0.70394E-02    0.32272E-03    0.17172E-03
          213.    0.90192E-01    0.24491E-01    0.43413E-03    0.22478E-03
          214.    0.49838E-01   -0.40027E-02    0.48306E-03    0.26872E-03
          215.    0.15655E+02   -0.48748E+00    0.16447E-02    0.47603E-03
          216.    0.12562E+02    0.48645E+00    0.13245E-02    0.39069E-03
          217.    0.12946E+02   -0.51503E+00    0.14647E-02    0.42262E-03
          218.    0.70160E+01    0.15665E+00    0.10151E-02    0.31380E-03
          219.    0.69375E+01    0.42028E+00    0.16140E-01    0.68562E-02
          220.    0.56239E+01   -0.17167E+01    0.21335E-01    0.82940E-02
          221.    0.11651E+02   -0.20323E+01    0.17504E-01    0.73673E-02
          222.    0.56567E+01    0.10229E+01    0.15639E-01    0.71414E-02
          223.    0.28969E+01   -0.25893E+01    0.18854E-01    0.58652E-02
          224.    0.15433E+01   -0.33358E+00    0.15891E-01    0.74169E-02
          225.    0.14989E+01    0.33878E+00    0.36539E-01    0.16867E-01
          226.    0.85951E+00   -0.24523E+00    0.31864E-01    0.13535E-01
          227.    0.35629E+01    0.11076E+01    0.25836E-02    0.15371E-02
          228.    0.29241E-01   -0.48525E-02    0.16264E-01    0.83527E-02
