/TITLE,THIS IS REULT OF BH056-L-8-50Mat
   0.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
          222.    0.18070E+01    0.15440E+01    0.49496E-02    0.34405E-02
          223.    0.77503E+00    0.34453E+00    0.42622E-02    0.22258E-02
          224.    0.37937E+00    0.27047E+00    0.35458E-02    0.21694E-02
          225.    0.25287E+00    0.20856E+00    0.60552E-02    0.40350E-02
          226.    0.15296E+00    0.14528E+00    0.53810E-02    0.39108E-02
          227.    0.16012E+01    0.13398E+01    0.91240E-03    0.56676E-03
          228.    0.61409E-02    0.87551E-02    0.32374E-02    0.19865E-02
          229.    0.26927E+01    0.22487E+01    0.93274E-03    0.57356E-03
          230.    0.10046E+00    0.98803E-01    0.17535E-02    0.11463E-02
          231.    0.55636E+01    0.54159E+01    0.10159E-02    0.72707E-03
          232.    0.15722E+01    0.13342E+01    0.63449E-03    0.44588E-03
          233.    0.44897E-01    0.34749E-01    0.35945E-03    0.24249E-03
          234.    0.34088E+01    0.47961E+00    0.95024E-03    0.30694E-03
          235.    0.14759E-01    0.54286E-02    0.20734E-03    0.10838E-03
          236.    0.51762E+01    0.73422E+00    0.58279E-03    0.17887E-03
          237.    0.11384E+01    0.17134E+00    0.68351E-03    0.22456E-03
          238.    0.47571E+00   -0.65232E-01    0.17762E-03    0.88013E-04
          239.    0.35855E+00    0.11348E+00    0.15729E-03    0.87885E-04
          240.    0.41115E+00    0.91982E-01    0.74372E-03    0.28442E-03
          241.    0.32734E+00    0.33707E-01    0.52243E-03    0.23874E-03
          242.    0.56353E+00   -0.13051E+00    0.23818E-02    0.92792E-03
          243.    0.65326E+00    0.28289E+00    0.30714E-02    0.14353E-02
          244.    0.85847E+00    0.34884E+00    0.28757E-02    0.12677E-02
          245.    0.30795E+00    0.31353E-01    0.20711E-02    0.85307E-03
          246.    0.68171E+00    0.53254E+00    0.75891E-03    0.42463E-03
          247.    0.59203E+00    0.62702E+00    0.68308E-03    0.43815E-03
          248.    0.10533E+01    0.48418E+00    0.11699E-02    0.55986E-03
          249.    0.83358E+00    0.17700E+00    0.19180E-02    0.66491E-03
          250.    0.10564E+01    0.99965E+00    0.13222E-02    0.91513E-03
          251.    0.23731E+01    0.19016E+01    0.22483E-02    0.15393E-02
          252.    0.19010E+00    0.11839E+00    0.19231E-02    0.11765E-02
          253.    0.58988E+00    0.34409E+00    0.19663E-02    0.11079E-02
          254.    0.94531E-01    0.38172E-01    0.17390E-02    0.96383E-03
          255.    0.16770E+00    0.53104E-01    0.15003E-02    0.75771E-03
