/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  20.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
          127.    0.47354E+01    0.39574E+00    0.70594E-03    0.27419E-03
          128.    0.95453E+01    0.38727E+01    0.94793E-03    0.42017E-03
          129.    0.27334E+01    0.95622E+00    0.79657E-02    0.51357E-02
          130.    0.50203E+01    0.29424E+01    0.58805E-02    0.37348E-02
          131.    0.50913E+00    0.38716E+00    0.66424E-02    0.43615E-02
          132.    0.16815E+01    0.76152E+00    0.67539E-02    0.42662E-02
          133.    0.32709E+02   -0.57761E+01    0.38095E-02    0.10622E-02
          134.    0.28654E+02   -0.38100E+01    0.37076E-02    0.10384E-02
          135.    0.36703E+02   -0.13593E+01    0.39084E-02    0.11931E-02
          136.    0.12432E+02    0.30802E+01    0.27957E-02    0.89460E-03
          137.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          138.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          139.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          140.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          141.    0.40002E+01    0.62728E+00    0.10507E-01    0.37346E-02
          142.    0.75936E+01    0.75704E+00    0.81103E-02    0.26235E-02
          143.    0.69317E+01    0.26352E+01    0.67991E-02    0.27468E-02
          144.    0.55351E+01    0.14812E+01    0.71630E-02    0.26383E-02
          145.    0.90402E+01    0.11842E+01    0.10289E-02    0.35798E-03
          146.    0.77946E+01    0.86171E+00    0.11967E-02    0.41192E-03
          147.    0.14960E+01    0.33080E+00    0.10799E-02    0.43349E-03
          148.    0.27941E+01    0.63564E+00    0.91783E-03    0.36348E-03
          149.    0.23175E+01    0.27716E+01    0.25735E-02    0.19189E-02
          150.    0.11001E+01    0.95260E+00    0.20428E-02    0.14688E-02
          151.    0.67436E+00    0.31808E+00    0.48429E-02    0.27705E-02
          152.    0.41050E+00    0.30379E+00    0.40110E-02    0.27774E-02
